date,primary type,secondary type,latitude,longitude
2016-02-17 05:15:00,CRIMINAL DAMAGE,TO PROPERTY,41.775967142,-87.614322172
2016-02-16 16:10:00,CRIMINAL DAMAGE,TO PROPERTY,41.781582109,-87.604330677
2016-02-16 14:30:00,CRIMINAL DAMAGE,TO VEHICLE,41.777775144,-87.610745722
2016-02-16 13:00:00,ROBBERY,STRONGARM - NO WEAPON,41.761540011,-87.610326786
2016-02-15 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.785848109,-87.607582382
2016-02-15 13:40:00,CRIMINAL DAMAGE,TO VEHICLE,41.787553774,-87.606078091
2016-02-15 12:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.769001814,-87.595231795
2016-02-14 21:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.768388889,-87.614120875
2016-02-14 16:16:00,CRIMINAL DAMAGE,TO PROPERTY,41.759628761,-87.60665371
2016-02-14 14:29:00,ROBBERY,STRONGARM - NO WEAPON,41.772603973,-87.610598471
2016-02-14 09:00:00,ROBBERY,STRONGARM - NO WEAPON,41.76928293,-87.618421821
2016-02-13 20:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.777810401,-87.593008043
2016-02-13 17:23:00,CRIMINAL DAMAGE,TO PROPERTY,41.778966393,-87.615597542
2016-02-13 03:30:00,BURGLARY,FORCIBLE ENTRY,41.769344242,-87.615052305
2016-02-13 02:00:00,ROBBERY,VEHICULAR HIJACKING,41.765907195,-87.595806104
2016-02-12 16:50:00,BURGLARY,FORCIBLE ENTRY,41.78208563,-87.614118161
2016-02-12 14:20:00,CRIMINAL DAMAGE,TO PROPERTY,41.775954169,-87.594543506
2016-02-12 14:00:00,BURGLARY,FORCIBLE ENTRY,41.782085516,-87.61409983
2016-02-12 11:17:00,CRIMINAL DAMAGE,TO PROPERTY,41.781576603,-87.615660095
2016-02-11 17:02:00,CRIMINAL DAMAGE,TO VEHICLE,41.764942639,-87.61684985
2016-02-11 15:30:00,CRIMINAL DAMAGE,TO PROPERTY,41.77236583,-87.609387721
2016-02-11 03:38:00,CRIMINAL DAMAGE,TO PROPERTY,41.765738121,-87.613717946
2016-02-10 21:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.785014658,-87.612068766
2016-02-10 07:00:00,BURGLARY,UNLAWFUL ENTRY,41.78333868,-87.615699111
2016-02-09 21:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.775748268,-87.613114795
2016-02-09 15:18:00,ROBBERY,ARMED: HANDGUN,41.781457643,-87.607210251
2016-02-09 13:40:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.770131721,-87.611528011
2016-02-08 19:30:00,CRIMINAL DAMAGE,TO PROPERTY,41.777967289,-87.615568353
2016-02-08 16:30:00,BURGLARY,FORCIBLE ENTRY,41.784153537,-87.597448666
2016-02-08 04:01:00,CRIMINAL DAMAGE,TO PROPERTY,41.783448947,-87.596272423
2016-02-07 20:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.782076986,-87.615368529
2016-02-07 18:00:00,ROBBERY,STRONGARM - NO WEAPON,41.765316099,-87.611625977
2016-02-07 16:00:00,BURGLARY,FORCIBLE ENTRY,41.777933486,-87.607132687
2016-02-07 14:09:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.775058666,-87.595690269
2016-02-07 11:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.771108062,-87.618009308
2016-02-07 08:30:00,ROBBERY,ARMED: HANDGUN,41.785268355,-87.614452924
2016-02-06 15:00:00,BURGLARY,UNLAWFUL ENTRY,41.774794486,-87.615064818
2016-02-06 04:35:00,CRIMINAL DAMAGE,TO PROPERTY,41.764201656,-87.590063523
2016-02-05 23:29:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,41.767971092,-87.620177586
2016-02-05 21:30:00,CRIMINAL DAMAGE,TO VEHICLE,41.77996887,-87.586449755
2016-02-05 15:40:00,BURGLARY,FORCIBLE ENTRY,41.764735684,-87.614033384
2016-02-05 13:15:00,BURGLARY,FORCIBLE ENTRY,41.762963962,-87.590909852
2016-02-04 22:40:00,CRIMINAL DAMAGE,TO PROPERTY,41.775741321,-87.615512519
2016-02-04 21:27:00,CRIMINAL DAMAGE,TO PROPERTY,41.774064802,-87.603356326
2016-02-04 20:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.781531756,-87.607213081
2016-02-04 16:45:00,ROBBERY,ARMED: HANDGUN,41.778734699,-87.593778333
2016-02-04 14:50:00,BURGLARY,UNLAWFUL ENTRY,41.784142306,-87.598695439
2016-02-04 14:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.775159929,-87.587993984
2016-02-04 14:00:00,BURGLARY,FORCIBLE ENTRY,41.781550562,-87.594666257
2016-02-04 12:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.765451389,-87.597050277
2016-02-03 22:37:00,CRIMINAL DAMAGE,TO VEHICLE,41.783298944,-87.594708522
2016-02-03 10:11:00,CRIMINAL DAMAGE,TO PROPERTY,41.772385546,-87.590126684
2016-02-02 17:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.776322631,-87.605838376
2016-02-02 15:00:00,BURGLARY,UNLAWFUL ENTRY,41.776215787,-87.598536608
2016-02-02 09:53:00,CRIMINAL DAMAGE,TO VEHICLE,41.774591375,-87.597283027
2016-02-02 00:01:00,CRIMINAL DAMAGE,TO PROPERTY,41.781462605,-87.613230509
2016-02-01 22:15:00,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,41.783436023,-87.613274426
2016-02-01 22:15:00,CRIMINAL DAMAGE,TO VEHICLE,41.7758951,-87.597312114
2016-02-01 19:50:00,BURGLARY,FORCIBLE ENTRY,41.774069904,-87.597274325
2016-02-01 19:00:00,BURGLARY,FORCIBLE ENTRY,41.775938564,-87.598528774
2016-02-01 18:03:00,CRIMINAL DAMAGE,TO PROPERTY,41.772382712,-87.61865868
2016-02-01 16:30:00,CRIMINAL DAMAGE,TO PROPERTY,41.763948563,-87.593369017
2016-02-01 16:30:00,ROBBERY,STRONGARM - NO WEAPON,41.772147958,-87.605742579
2016-02-01 16:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.762316394,-87.597749548
2016-02-01 15:20:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,41.776234965,-87.592974836
2016-02-01 12:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.768813738,-87.620201245
2016-02-01 09:27:00,ROBBERY,STRONGARM - NO WEAPON,41.773315666,-87.587978676
2016-02-01 08:40:00,BURGLARY,UNLAWFUL ENTRY,41.776322631,-87.605838376
2016-02-01 07:45:00,BURGLARY,FORCIBLE ENTRY,41.775938564,-87.598528774
2016-02-01 02:16:00,CRIMINAL DAMAGE,TO PROPERTY,41.775091891,-87.59232442
2016-02-01 00:00:00,ROBBERY,AGGRAVATED,41.769257545,-87.619635468
2016-01-31 20:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.781433905,-87.604328689
2016-01-31 15:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.767099456,-87.587918672
2016-01-31 14:00:00,BURGLARY,FORCIBLE ENTRY,41.775748268,-87.613114795
2016-01-31 13:45:00,BURGLARY,FORCIBLE ENTRY,41.771470188,-87.59074212
2016-01-31 11:00:00,ROBBERY,ARMED: HANDGUN,41.773060554,-87.61032573
2016-01-31 05:16:00,BURGLARY,HOME INVASION,41.782081122,-87.615152161
2016-01-31 04:30:00,ROBBERY,ARMED: HANDGUN,41.781222523,-87.615649378
2016-01-31 00:30:00,BURGLARY,UNLAWFUL ENTRY,41.78147907,-87.613230324
2016-01-30 15:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.763123728,-87.610367653
2016-01-30 05:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.779196943,-87.615602304
2016-01-29 23:55:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,41.772335221,-87.620290547
2016-01-29 21:00:00,BURGLARY,FORCIBLE ENTRY,41.777961373,-87.593013639
2016-01-29 17:15:00,ROBBERY,STRONGARM - NO WEAPON,41.779892036,-87.586450646
2016-01-29 14:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.774544285,-87.598500696
