Total Docks,Latitude,Longitude
23,41.857813,-87.62455
15,41.861267,-87.656625
14,41.865234,-87.666507
11,41.91044,-87.6972
15,41.891072,-87.666611
15,41.830629,-87.64129
15,41.830661,-87.647172
11,41.8378,-87.65114
15,41.84847,-87.685109
15,41.864883,-87.647071
31,41.87817,-87.631985
23,41.87785,-87.62408
15,41.89113,-87.67203
23,41.878724,-87.634793
27,41.880317,-87.635185
11,41.918084,-87.643749
19,41.912133,-87.634656
15,41.921525,-87.707322
19,41.906724,-87.63483
11,41.957081,-87.664199
19,41.965485,-87.657238
15,41.978353,-87.659753
15,41.972972,-87.659637
15,41.940106,-87.645451
15,41.961507,-87.671387
15,41.955927,-87.679259
15,41.94367,-87.64895
19,41.937725,-87.644095
19,41.907993,-87.631501
19,41.928712,-87.653833
15,41.945512,-87.64598
13,41.949546,-87.648674
15,41.902893,-87.687275
15,41.958494,-87.654966
15,41.920445,-87.663095
11,41.943403,-87.679618
11,41.917805,-87.682437
11,41.920082,-87.677855
19,41.968885,-87.684001
15,41.957879,-87.649519
19,41.925858,-87.638973
15,41.957921,-87.673567
19,41.912919,-87.664169
19,41.96325,-87.679258
23,41.869154,-87.671045
15,41.954177,-87.664358
15,41.932595,-87.665939
15,41.872187,-87.661501
19,41.871962,-87.626106
19,41.799568,-87.594747
15,41.969517,-87.654691
15,41.93132,-87.638742
19,41.973385,-87.668365
11,41.967096,-87.667429
19,41.92154,-87.653818
15,41.788746,-87.601334
15,41.932684,-87.63625
19,41.946176,-87.673308
19,41.908537,-87.648627
7,41.933666,-87.648959
15,41.907066,-87.667252
19,41.940775,-87.639192
15,41.831379,-87.618034
15,41.809855,-87.606755
19,41.896544,-87.630931
15,41.857611,-87.619407
11,41.838198,-87.645143
15,41.929546,-87.643118
19,41.866095,-87.607267
15,41.871262,-87.673688
15,41.928887,-87.658971
39,41.96909,-87.674237
19,41.793242,-87.587782
15,41.88283,-87.661206
15,41.950687,-87.6687
15,41.854016,-87.695445
15,41.929143,-87.649077
15,41.895966,-87.667747
15,41.803038,-87.606615
15,41.773517551,-87.577142826
15,42.012560115,-87.674367115
15,42.010586563,-87.662412095
19,41.773668848,-87.56733865
11,41.766492937,-87.586460878
19,41.90348607,-87.643353494
15,41.900219493,-87.642985468
15,41.899368439,-87.648479875
15,41.84163254,-87.657434953
15,41.830696113,-87.655975912
19,41.839208684,-87.665609859
11,41.830104654,-87.670298309
15,41.854184249,-87.619153742
15,41.900146,-87.702882
15,41.895465303,-87.706127884
15,41.898417689,-87.686596016
15,41.889727,-87.70103
35,41.88949182,-87.688219365
19,41.884603285,-87.706303744
15,41.884453957,-87.696298137
15,41.879787709,-87.686112808
19,41.874748851,-87.686445276
23,41.874290614,-87.667245636
15,41.80183164,-87.645213904
15,41.794982,-87.633124
15,41.792929646,-87.644990056
15,41.779381142,-87.644620814
15,41.780079633,-87.629746305
15,41.76906172,-87.644613578
15,41.76929309,-87.628195929
15,41.765508006,-87.616917925
15,41.870816,-87.631246
15,41.757120068,-87.575839359
11,41.758768,-87.56644
11,41.758745837,-87.560114781
19,41.757871448,-87.54938625
11,41.76218896,-87.55927465
19,41.765719037,-87.604959713
11,41.842733,-87.635491
15,41.838464,-87.635406
15,41.834529886,-87.631822981
19,41.831274235,-87.608799195
19,41.823015238,-87.626568018
15,41.817638089,-87.643565028
15,41.816207679,-87.63481935
19,41.816658893,-87.619412462
11,41.808133915,-87.645616554
19,41.809317709,-87.633449288
15,41.81409271,-87.597005148
15,41.870257,-87.639474
19,41.802294651,-87.61805358
15,41.805772,-87.592464
19,41.802406,-87.586924
11,41.799336263,-87.600958114
15,41.799494294,-87.586449896
19,41.794300621,-87.601449773
15,41.793429457,-87.615853262
15,41.791568011,-87.607852177
19,41.791478,-87.599861
27,41.79172821,-87.583945009
15,41.787942813,-87.58831517
19,41.785097146,-87.601072761
19,41.780599015,-87.606112388
15,41.780405646,-87.591415989
15,41.773720952,-87.60563486
15,41.780080637,-87.615942857
15,41.784141693,-87.61330783
15,42.009069134,-87.673711393
15,41.873599675,-87.704870749
19,41.866501483,-87.68469707
15,41.866492782,-87.706496176
15,41.866624,-87.694521
19,41.86148,-87.693374
19,41.854204313,-87.715405838
15,41.853533632,-87.705073032
14,41.849881946,-87.717000385
15,41.848190945,-87.705413746
15,41.849109692,-87.695139807
15,41.844566849,-87.715910308
19,41.844475014,-87.702013013
19,41.844040031,-87.695295923
14,41.841517708,-87.685131441
15,42.007971923,-87.665502394
15,42.004549622,-87.680666145
15,42.004450629,-87.672402405
15,42.002007264,-87.689726232
15,42.00104378,-87.661198243
15,41.994161369,-87.689438282
15,41.999251822,-87.671377339
15,41.994779688,-87.660284535
15,41.990236029,-87.69336964
