TotInstall,Latitude,Longitude
1,41.8019,-87.625808
3,41.879382,-87.627517
1,41.893974,-87.627945
1,41.8781,-87.627495
2,41.8781,-87.627495
2,41.8781,-87.627495
3,41.886752,-87.627907
1,41.886752,-87.627907
2,41.882059,-87.6308
1,41.882014,-87.635242
1,41.880839,-87.727945
1,41.882136,-87.627724
2,41.882023,-87.633753
2,41.881865,-87.629267
1,41.881643,-87.647206
1,41.881974,-87.624027
2,41.881969,-87.626054
2,41.881868,-87.636676
2,41.881877,-87.633745
3,41.880644,-87.627934
1,41.878611,-87.629992
3,41.880745,-87.706283
1,41.880745,-87.706283
1,41.881674,-87.638874
1,41.881674,-87.638874
1,41.881674,-87.638874
1,41.881482,-87.626258
1,41.903298,-87.629075
1,41.889383,-87.628459
3,41.885892,-87.628341
1,41.885824,-87.624439
2,41.900133,-87.624935
2,41.882286,-87.76498
13,41.881855,-87.715858
6,41.881855,-87.715858
2,41.883306,-87.63097
2,41.883306,-87.63097
4,41.883322,-87.638644
2,41.880652,-87.629441
4,41.88085,-87.61757
2,41.880788,-87.624512
1,41.880641,-87.62628
1,41.880514,-87.637106
1,41.736354,-87.626741
3,41.879484,-87.630868
6,41.903993,-87.631607
1,41.890936,-87.631276
2,41.885822,-87.631094
2,41.88079,-87.631001
1,41.884539,-87.631022
1,41.757695,-87.599148
1,41.899386,-87.696928
1,41.899386,-87.696928
5,41.900719,-87.630035
1,41.899399,-87.699393
2,41.900856,-87.624306
1,41.900858,-87.624232
1,41.899422,-87.6982
2,41.869902,-87.626045
3,41.698782,-87.647671
2,41.94737,-87.654465
2,42.003801,-87.657651
1,41.883136,-87.652197
1,41.936331,-87.654096
1,41.711666,-87.681963
1,41.711137,-87.720903
5,41.712854,-87.59227
2,41.712854,-87.59227
1,41.899822,-87.667282
1,41.899661,-87.677036
2,41.900724,-87.629731
0,41.900724,-87.629731
2,41.917967,-87.653438
1,41.910751,-87.65324
3,41.943397,-87.654252
3,41.882961,-87.652195
2,41.928845,-87.653961
2,41.7115,-87.67674
2,41.899422,-87.69696
1,41.899526,-87.687101
1,41.899628,-87.681865
1,41.899628,-87.681865
2,41.899628,-87.681865
1,41.900937,-87.627408
1,41.711548,-87.620169
1,41.712353,-87.53545
2,41.869905,-87.624293
1,41.712291,-87.535134
1,41.921553,-87.653795
1,41.886609,-87.652556
2,41.898203,-87.626094
1,41.894021,-87.625241
2,41.885695,-87.624438
2,41.899864,-87.624928
1,41.900775,-87.624073
2,41.883379,-87.624059
1,41.883365,-87.626066
3,41.883272,-87.636687
4,41.88082,-87.62064
3,41.88065,-87.629315
1,41.880851,-87.617133
2,41.880788,-87.624191
1,41.736223,-87.626737
2,41.880587,-87.630998
3,41.884418,-87.631019
3,41.764225,-87.600166
1,41.869599,-87.640936
1,41.896448,-87.653156
2,41.70838,-87.581455
1,41.709728,-87.681543
3,41.901144,-87.627509
1,41.899727,-87.686742
1,41.709433,-87.681897
2,41.917943,-87.65386
1,41.917943,-87.65386
2,41.869864,-87.624292
1,41.954337,-87.655139
2,41.885415,-87.652705
1,41.885415,-87.652705
2,41.871736,-87.652019
1,41.710922,-87.535094
1,41.900225,-87.667618
1,41.900225,-87.667618
1,41.900886,-87.630069
1,41.939724,-87.654727
1,41.899832,-87.696992
3,41.869061,-87.658129
1,41.932478,-87.654604
3,41.932478,-87.654604
1,41.883363,-87.626375
2,41.709832,-87.534238
1,41.709948,-87.535365
3,41.927917,-87.65434
2,41.709534,-87.566737
1,41.961609,-87.65537
1,41.7092,-87.552366
1,41.7083,-87.61984
1,41.70914,-87.535447
1,41.709081,-87.535447
1,41.967431,-87.65571
