Date,IUCR,Latitude,Longitude
2016-03-06 23:55:00,1811,41.766014822,-87.590786706
2016-03-06 23:51:00,0340,41.892302421,-87.7198824
2016-03-06 23:50:00,0560,41.914401629,-87.762425881
2016-03-06 23:50:00,1811,41.780242026,-87.722803147
2016-03-06 23:43:00,1330,41.710206261,-87.61140771
2016-03-06 23:40:00,0560,41.860090147,-87.724991978
2016-03-06 23:40:00,0430,41.798983997,-87.669582842
2016-03-06 23:40:00,3731,41.866160091,-87.7259624
2016-03-06 23:39:00,1320,41.881810242,-87.74594885
2016-03-06 23:30:00,0820,41.90012621,-87.707667459
2016-03-06 23:30:00,2820,41.882934596,-87.76821448
2016-03-06 23:30:00,031A,41.991389258,-87.780653215
2016-03-06 23:27:00,0486,41.704089937,-87.530449655
2016-03-06 23:25:00,0810,41.879434947,-87.750498251
2016-03-06 23:20:00,4387,41.991447583,-87.692129862
2016-03-06 23:11:00,0560,41.936335635,-87.650710119
2016-03-06 23:00:00,1310,41.798269731,-87.697590934
2016-03-06 23:00:00,0530,41.802774656,-87.616292828
2016-03-06 23:00:00,2825,41.878365779,-87.763290192
2016-03-06 23:00:00,0460,41.7799566,-87.605921959
2016-03-06 22:58:00,1360,41.998642686,-87.681381466
2016-03-06 22:50:00,5131,41.770781477,-87.610552944
2016-03-06 22:45:00,1310,41.884576163,-87.734733858
2016-03-06 22:45:00,1310,41.783455232,-87.613274211
2016-03-06 22:40:00,1811,41.778684606,-87.673891132
2016-03-06 22:39:00,2850,41.896620292,-87.632341979
2016-03-06 22:36:00,2022,41.828940691,-87.694785187
2016-03-06 22:35:00,1310,41.917991147,-87.737588902
2016-03-06 22:30:00,1320,41.799569889,-87.60633833
2016-03-06 22:30:00,0610,41.745917681,-87.668183898
2016-03-06 22:30:00,1320,41.786814171,-87.726345227
2016-03-06 22:30:00,4650,41.677954593,-87.629049827
2016-03-06 22:30:00,0620,41.775266233,-87.664100992
2016-03-06 22:25:00,2014,41.748698643,-87.607590529
2016-03-06 22:20:00,3730,41.769837316,-87.657885248
2016-03-06 22:20:00,0486,41.882780879,-87.707351971
