date,primary type,secondary type,latitude,longitude
2016-02-24 21:45:00,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,41.795526982,-87.627811787
2016-02-24 04:35:00,CRIMINAL DAMAGE,TO PROPERTY,41.78146195,-87.614440445
2016-02-24 03:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.798156406,-87.623422403
2016-02-23 17:50:00,ROBBERY,ARMED: HANDGUN,41.785373819,-87.6085264
2016-02-23 09:00:00,BURGLARY,FORCIBLE ENTRY,41.782083041,-87.615020146
2016-02-23 07:00:00,BURGLARY,FORCIBLE ENTRY,41.783455232,-87.613274211
2016-02-22 17:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.784015947,-87.6081787
2016-02-22 14:50:00,CRIMINAL DAMAGE,TO PROPERTY,41.794733492,-87.620192694
2016-02-22 13:01:00,CRIMINAL DAMAGE,TO PROPERTY,41.794733492,-87.620192694
2016-02-21 17:00:00,ROBBERY,ARMED: HANDGUN,41.777873967,-87.615565728
2016-02-21 15:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.783728383,-87.624542227
2016-02-21 11:00:00,BURGLARY,UNLAWFUL ENTRY,41.803805221,-87.623598452
2016-02-20 10:20:00,CRIMINAL DAMAGE,TO VEHICLE,41.800889545,-87.633683411
2016-02-20 05:00:00,ROBBERY,ARMED: HANDGUN,41.779059693,-87.615596501
2016-02-19 17:14:00,CRIMINAL DAMAGE,TO PROPERTY,41.794672085,-87.623570871
2016-02-19 12:06:00,CRIMINAL DAMAGE,TO PROPERTY,41.783026429,-87.614477968
2016-02-19 01:00:00,ROBBERY,ARMED: HANDGUN,41.777967289,-87.615568353
2016-02-18 18:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.784906565,-87.632738878
2016-02-18 12:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.790597548,-87.617495642
2016-02-17 19:55:00,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,41.794625156,-87.627088236
2016-02-17 19:11:00,BURGLARY,FORCIBLE ENTRY,41.78219834,-87.608037855
2016-02-17 16:15:00,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,41.792989118,-87.616823621
2016-02-17 01:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.789247208,-87.62188894
2016-02-16 18:10:00,ROBBERY,STRONGARM - NO WEAPON,41.794621043,-87.627311981
2016-02-16 15:20:00,BURGLARY,UNLAWFUL ENTRY,41.780048569,-87.621037369
2016-02-15 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.785848109,-87.607582382
2016-02-15 21:38:00,CRIMINAL DAMAGE,TO VEHICLE,41.802007569,-87.622242931
2016-02-15 19:15:00,CRIMINAL DAMAGE,TO VEHICLE,41.790723822,-87.606141269
2016-02-15 13:40:00,CRIMINAL DAMAGE,TO VEHICLE,41.787553774,-87.606078091
2016-02-15 04:12:00,ARSON,BY FIRE,41.800609128,-87.633151
2016-02-14 11:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.790520722,-87.622358898
2016-02-13 17:23:00,CRIMINAL DAMAGE,TO PROPERTY,41.778966393,-87.615597542
2016-02-13 08:10:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.79388474,-87.617862454
2016-02-13 07:40:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.786756825,-87.619023405
2016-02-13 07:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.785101667,-87.623837769
2016-02-12 21:50:00,ROBBERY,VEHICULAR HIJACKING,41.792020174,-87.615910315
2016-02-12 16:50:00,BURGLARY,FORCIBLE ENTRY,41.78208563,-87.614118161
2016-02-12 14:00:00,BURGLARY,FORCIBLE ENTRY,41.782085516,-87.61409983
2016-02-12 11:17:00,CRIMINAL DAMAGE,TO PROPERTY,41.781576603,-87.615660095
